,timestamp,user,communication_number,communication_id,script_id,script_name,mrf,client_mrf,script_owner,current_script_owner,script_responsible,current_script_responsible,crm_departament,ACCOUNT_NUMBER,CALLER_ID,COMMUNICATION_THEME,COMMUNICATION_DETAIL,COMMUNICATION_RESULT
0,2024-04-09 21:00:06.344,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
1,2024-04-09 21:00:06.614,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
2,2024-04-09 21:00:06.771,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
3,2024-04-09 21:00:07.057,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
4,2024-04-09 21:00:07.411,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
5,2024-04-09 21:00:07.540,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
6,2024-04-09 21:00:07.634,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
7,2024-04-09 21:00:07.725,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
8,2024-04-09 21:00:07.813,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,account_number_0,,,,
9,2024-04-09 21:00:07.859,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
10,2024-04-09 21:00:08.093,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
11,2024-04-09 21:00:08.211,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
12,2024-04-09 21:00:08.279,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
13,2024-04-09 21:00:26.665,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,,,,,,,,,,
14,2024-04-09 21:00:26.814,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
15,2024-04-09 21:00:27.222,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
16,2024-04-09 21:00:27.410,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
17,2024-04-09 21:00:27.479,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_10,ЦОО,,,,,
18,2024-04-09 21:00:28.027,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
19,2024-04-09 21:00:28.216,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
20,2024-04-09 21:01:02.333,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
21,2024-04-09 21:01:02.992,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_04,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
22,2024-04-09 21:01:03.418,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
23,2024-04-09 21:01:03.534,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
24,2024-04-09 21:01:09.614,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
25,2024-04-09 21:01:09.812,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
26,2024-04-09 21:01:11.547,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
27,2024-04-09 21:01:11.657,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
28,2024-04-09 21:01:11.826,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_04,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
29,2024-04-09 21:01:11.989,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_10,ЦОО,,,,,
30,2024-04-09 21:01:12.303,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
31,2024-04-09 21:01:12.409,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
32,2024-04-09 21:01:12.644,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
33,2024-04-09 21:04:50.856,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
34,2024-04-09 21:04:51.027,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_10,script_responsible_03,current_script_responsible_04,ЦОО,,,,,
35,2024-04-09 21:04:51.425,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_10,ЦОО,,,Техподдержка,Нет доступа. Не отображаются страницы,Настроено ПО/Оборудование клиента
36,2024-04-09 21:05:07.229,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_02,script_responsible_03,current_script_responsible_02,ЦОО,,,,,
37,2024-04-09 21:05:07.445,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_02,script_responsible_03,current_script_responsible_02,ЦОО,,,,,
38,2024-04-09 21:05:07.657,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_02,script_responsible_03,current_script_responsible_02,ЦОО,,,,,
39,2024-04-09 21:05:07.955,user_03,344175369,53150993.0,17424b97-bf0a-45f9-9ce2-062eb39f3c37,Проблема с интернетом,Волга,Волга,owner_03,current_script_owner_06,script_responsible_03,current_script_responsible_10,ЦОО,,,,,
